name||set||set_code||id||type||power||toughness||loyalty||manacost||converted_manacost||artist||flavor||color||generated_mana||number||rarity||rating||ruling||variation||ability||pricing_low||pricing_mid||pricing_high||watermark||print_number||is_original||back_id||number_int||name_CN||name_TW||name_FR||name_DE||name_IT||name_JP||name_PT||name_RU||name_ES||name_KO||type_CN||type_TW||type_FR||type_DE||type_IT||type_JP||type_PT||type_RU||type_ES||type_KO||ability_CN||ability_TW||ability_FR||ability_DE||ability_IT||ability_JP||ability_PT||ability_RU||ability_ES||ability_KO||flavor_CN||flavor_TW||flavor_FR||flavor_DE||flavor_IT||flavor_JP||flavor_PT||flavor_RU||flavor_ES||flavor_KO||color_identity||fully_handled||custom_sort||legality_Block||legality_Standard||legality_Modern||legality_Legacy||legality_Vintage||legality_Highlander||legality_French_Commander||legality_Tiny_Leaders_Commander||legality_Leviathan_Commander||legality_Commander||legality_Peasant||legality_Pauper||
Crook of Condemnation||Hour of Devastation||HOU||430848||Artifact||||||||{2}||2||Ben Maier||#_The God-Pharaoh's angels stripped former initiates of their cartouches and the fortifying magic they provided._#||A||||159||U||5||||||{1}, {T}: Exile target card from a graveyard.£{1}, Exile Crook of Condemnation: Exile all cards from all graveyards.||||||||||1||True||||159||判罪勾杖||判罪勾杖||Houlette de la réprobation||Krummstab der Verdammnis||Pastorale della Condanna||没収の曲杖||Gancho da Condenação||Крюк Осуждения||Garfio de la condenación||규탄의 갈고리||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Crypt of the Eternals||Hour of Devastation||HOU||430858||Land||||||||||0||Titus Lunter||#_The dead entered as worthy. They exited as Eternals._#||L||{U}{B}{R}{C}||169||U||5||||||When Crypt of the Eternals enters the battlefield, you gain 1 life.£{T}: Add {C} to your mana pool.£{1}, {T}: Add {U}, {B}, or {R} to your mana pool.||||||||||1||True||||169||永生者墓穴||永生者墓穴||Crypte des Éternels||Krypta der Verewigten||Cripta degli Eterni||永遠衆の墓所||Cripta dos Eternos||Crypt of the Eternals||Cripta de los Eternos||영생자들의 지하묘지||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||UBR||True||||||||||||||||||||||||||||
Cunning Survivor||Hour of Devastation||HOU||430722||Creature — Human Warrior||1||3||||{1}{U}||2||Zoltan Boros||#_Initiates who had been through the Trial of Knowledge learned to see everything as pieces of a larger puzzle._#||U||||33||C||5||£4/18/2017 : Some cards have an ability that triggers whenever you cycle any card. These triggered abilities resolve before you draw from the cycling ability.£4/18/2017 : An ability that triggers whenever you discard a card doesn’t give you permission to discard cards. You’ll need another effect that instructs or allows you to discard them.£4/18/2017 : An ability that triggers whenever you “cycle or discard” a card triggers only once if you cycle a card. The ability “Whenever you discard a card” is functionally identical to this ability; cycling is mentioned for clarity.£4/18/2017 : If a player discards a card during his or her cleanup step due to having too many cards in hand, any appropriate abilities that trigger on discarding that card trigger. If this happens, those triggered abilities are put onto the stack and players receive priority in that cleanup step to cast spells or activate abilities (normally, no players may take actions during a cleanup step). Another cleanup step is created following that one.||||Whenever you cycle or discard a card, Cunning Survivor gets +1/+0 until end of turn and can't be blocked this turn.||||||||||1||True||||33||狡黠遗民||狡黠遺民||Survivante rusée||Listige Überlebende||Superstite Astuta||狡猾な生き残り||Sobrevivente Astuta||Искусная Уцелевшая||Superviviente astuta||교활한 생존자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Dagger of the Worthy||Hour of Devastation||HOU||430849||Artifact — Equipment||||||||{2}||2||Tommy Arnold||||A||||160||U||5||£6/27/2017 : If a creature has multiple instances of afflict, each triggers separately.£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Equipped creature gets +2/+0 and has afflict 1. #_(Whenever it becomes blocked, defending player loses 1 life.)_#£Equip {2} #_({2}: Attach to target creature you control. Equip only as a sorcery.)_#||||||||||1||True||||160||豪英匕首||豪英匕首||Dague du Valeureux||Dolch der Ehrenhaften||Pugnale dei Prescelti||蓋世の英雄の短剣||Adaga dos Dignos||Кинжал Достойных||Daga de los dignos||자격있는 자의 단검||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Dauntless Aven||Hour of Devastation||HOU||430696||Creature — Bird Warrior||2||1||||{2}{W}||3||Zack Stella||#_In the chaos brought by the new gods, swift-winged aven served as pathfinders, leading the last of the people away from the ruins of Naktamun._#||W||||7||C||5||£6/27/2017 : Untapping an attacking creature doesn’t remove it from combat.£6/27/2017 : All attackers are chosen at once. You can’t attack with Dauntless Aven, untap a tapped creature, and then attack with that creature.||||Flying£Whenever Dauntless Aven attacks, untap target creature you control.||||||||||1||True||||7||不屈艾文||不屈艾文||Avemain intrépide||Furchtloser Avior||Aviano Intrepido||不屈のエイヴン||Aviano Intrépido||Неустрашимый Авен||Aven audaz||불굴의 에이븐||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Defiant Khenra||Hour of Devastation||HOU||430778||Creature — Jackal Warrior||2||2||||{1}{R}||2||David Palumbo||#_There were those who saw the death of the gods and the city's collapse as a final test of worth. Some believed it meant the God-Pharaoh had been killed. Only a few realized they had been deceived._#||R||||89||C||5||||||||||||||||1||True||||89||无畏胡狼人||無畏胡狼人||Khenra provocateur||Trotzender Khenra||Khenra Spavaldo||果敢なケンラ||Khenra Audaz||Непокорный Хенра||Khenra desafiante||저항하는 켄라||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Desert of the Fervent||Hour of Devastation||HOU||430859||Land — Desert||||||||||0||Titus Lunter||||L||{R}||170||C||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.||||Desert of the Fervent enters the battlefield tapped.£{T}: Add {R} to your mana pool.£Cycling {1}{R} #_({1}{R}, Discard this card: Draw a card.)_#||||||||||1||True||||170||狂热神荒漠||狂熱神荒漠||Désert de la Fervente||Wüste der Inbrünstigen||Deserto della Fervente||熱烈の砂漠||Deserto da Fervorosa||Пустыня Пылкой||Desierto de la Ferviente||열성의 사막||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Desert of the Glorified||Hour of Devastation||HOU||430860||Land — Desert||||||||||0||Jonas De Ro||||L||{B}||171||C||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.||||Desert of the Glorified enters the battlefield tapped.£{T}: Add {B} to your mana pool.£Cycling {1}{B} #_({1}{B}, Discard this card: Draw a card.)_#||||||||||1||True||||171||荣光神荒漠||榮光神荒漠||Désert de la Glorifiée||Wüste der Vielgepriesenen||Deserto della Gloriosa||栄光の砂漠||Deserto da Glorificada||Пустыня Прославленной||Desierto de la Venerada||영광의 사막||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Desert of the Indomitable||Hour of Devastation||HOU||430861||Land — Desert||||||||||0||James Paick||||L||{G}||172||C||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.||||Desert of the Indomitable enters the battlefield tapped.£{T}: Add {G} to your mana pool.£Cycling {1}{G} #_({1}{G}, Discard this card: Draw a card.)_#||||||||||1||True||||172||无畏神荒漠||無畏神荒漠||Désert de l'Indomptable||Wüste der Unbezwingbaren||Deserto dell'Indomabile||不屈の砂漠||Deserto do Indômito||Пустыня Неукротимого||Desierto del Indómito||불굴의 사막||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Desert of the Mindful||Hour of Devastation||HOU||430862||Land — Desert||||||||||0||Christine Choi||||L||{U}||173||C||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.||||Desert of the Mindful enters the battlefield tapped.£{T}: Add {U} to your mana pool.£Cycling {1}{U} #_({1}{U}, Discard this card: Draw a card.)_#||||||||||1||True||||173||心智神荒漠||心智神荒漠||Désert du Clairvoyant||Wüste der Achtsamen||Deserto del Ponderante||周到の砂漠||Deserto do Consciente||Пустыня Всеведущего||Desierto del Conocedor||신중의 사막||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Desert of the True||Hour of Devastation||HOU||430863||Land — Desert||||||||||0||Jung Park||||L||{W}||174||C||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.||||Desert of the True enters the battlefield tapped.£{T}: Add {W} to your mana pool.£Cycling {1}{W} #_({1}{W}, Discard this card: Draw a card.)_#||||||||||1||True||||174||真信神荒漠||真信神荒漠||Désert de la Loyale||Wüste der Getreuen||Deserto della Leale||信義の砂漠||Deserto da Verdadeira||Пустыня Верной||Desierto de la Leal||진실의 사막||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Desert's Hold||Hour of Devastation||HOU||430697||Enchantment — Aura||||||||{2}{W}||3||Sara Winters||||W||||8||U||5||£6/27/2017 : Activated abilities contain a colon. They’re generally written “[Cost]: [Effect].” Some keyword abilities are activated abilities and will have colons in their reminder text. Triggered abilities (starting with “when,” “whenever,” or “at”) are unaffected by the last ability of Desert’s Hold.£6/27/2017 : If an ability checks whether you control a Desert or there is a Desert card in your graveyard, having more than one doesn’t matter. Controlling one is the same as controlling five. There is also no extra bonus for both controlling one and having one in your graveyard.£6/27/2017 : For abilities that trigger only if you control a Desert or there is a Desert card in your graveyard, one condition must be true as the ability triggers and one must be true as the ability resolves. They don’t have to be the same condition, though. For example, you could sacrifice your only Desert after the ability triggers but before it has resolved.||||Enchant creature£When Desert's Hold enters the battlefield, if you control a Desert or there is a Desert card in your graveyard, you gain 3 life.£Enchanted creature can't attack or block, and its activated abilities can't be activated.||||||||||1||True||||8||沙漠之攫||沙漠之攫||Étau du désert||Umarmung der Wüste||Stretta del Deserto||砂漠の拘留||Garras do Deserto||Хватка Пустыни||Posesión desértica||사막의 구속||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Driven // Despair||Hour of Devastation||HOU||430846||Sorcery // Sorcery||||||||{1}{G} // {1}{B}||2 // 2||Winona Nelson // Winona Nelson||||G // B||||157||R // R||5||£4/18/2017 : Split cards with aftermath have a new frame treatment—the half you can cast from your hand is oriented the same as other cards you’d cast from your hand, while the half you can cast from your graveyard is a traditional split card half. This frame treatment is for your convenience and has no rules significance.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : All split cards have two card faces on a single card, and you put a split card onto the stack with only the half you’re casting. The characteristics of the half of the card you didn’t cast are ignored while the spell is on the stack. For example, if an effect prevents you from casting green spells, you can cast Destined of Destined // Lead, but not Lead.£4/18/2017 : Each split card is a single card. For example, if you discard one, you’ve discarded one card, not two. If an effect counts the number of instant and sorcery cards in your graveyard, Destined // Lead counts once, not twice.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : Each split card has two names. If an effect instructs you to choose a card name, you may choose one, but not both.£4/18/2017 : While not on the stack, the characteristics of a split card are the combination of its two halves. For example, Destined // Lead is a green and black card, it is both an instant card and a sorcery card, and its converted mana cost is 6. This means that if an effect allows you to cast a card with converted mana cost 2 from your hand, you can’t cast Destined. This is a change from the previous rules for split cards.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If you cast the first half of a split card with aftermath during your turn, you’ll have priority immediately after it resolves. You can cast the half with aftermath from your graveyard before any player can take any other action if it’s legal for you to do so.£4/18/2017 : If another effect allows you to cast a split card with aftermath from any zone other than a graveyard, you can’t cast the half with aftermath.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If another effect allows you to cast a split card with aftermath from a graveyard, you may cast either half. If you cast the half that has aftermath, you’ll exile the card if it would leave the stack.£4/18/2017 : A spell with aftermath cast from a graveyard will always be exiled afterward, whether it resolves, it’s countered, or it leaves the stack in some other way.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£6/27/2017 : If you resolve multiples of Driven or of Despair in one turn, your creatures have that many instances of the appropriate triggered ability. Each instance triggers separately.£6/27/2017 : Multiple instances of trample or menace are redundant.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£6/27/2017 : Driven and Despair each affect only creatures you control at the time it resolves. Creatures you begin to control later in the turn won’t gain the keyword ability or the triggered ability.||||Until end of turn, creatures you control gain trample and "Whenever this creature deals combat damage to a player, draw a card."£ // £Aftermath #_(Cast this spell only from your graveyard. Then exile it.)_#£Until end of turn, creatures you control gain menace and "Whenever this creature deals combat damage to a player, that player discards a card."||||||||||1||True||||157||陷入 // 绝望||陷入 // 絕望||||Getrieben // Verzweiflung||Forza // Disperazione||悪戦 // 苦闘||Levar // Desespero||||Sucumbir // Desesperación||강요 // 체념||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||BG||True||||||||||||||||||||||||||||
Devotee of Strength||Hour of Devastation||HOU||430802||Creature — Naga Wizard||3||2||||{2}{G}||3||Yeong-Hao Han||#_When Rhonas fell, his followers stirred with newfound strength—a final gift from a god they thought indomitable._#||G||||113||U||5||||||{4}{G}: Target creature gets +2/+2 until end of turn.||||||||||1||True||||113||蛮力信徒||蠻力信徒||Dévot de force||Jünger der Stärke||Devoto della Forza||活力の信奉者||Devoto da Força||Приверженец Силы||Devoto de la fuerza||힘의 추종자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Disposal Mummy||Hour of Devastation||HOU||430698||Creature — Zombie Jackal||2||3||||{2}{W}||3||Gabor Szikszai||#_Without the viziers to oversee their actions, some anointed went to extreme lengths to fulfill their directives._#||W||||9||C||5||||||When Disposal Mummy enters the battlefield, exile target card from an opponent's graveyard.||||||||||1||True||||9||弃伴木乃伊||棄伴木乃伊||Momie du rebut||Entsorgungsmumie||Mummia Ripulitrice||廃却するミイラ||Múmia Descartável||Сжигающая Мусор Мумия||Momia desechadora||폐기처분 미라||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Djeru, With Eyes Open||Hour of Devastation||HOU||430699||Legendary Creature — Human Warrior||4||3||||{3}{W}{W}||5||Kieran Yanner||||W||||10||R||5||£6/27/2017 : If multiple sources would deal damage to one or more planeswalkers you control at once (for example, several attacking creatures), 1 damage from each of those sources to each of those planeswalkers is prevented.||||Vigilance£When Djeru, With Eyes Open enters the battlefield, you may search your library for a planeswalker card, reveal it, put it into your hand, then shuffle your library.£If a source would deal damage to a planeswalker you control, prevent 1 of that damage.||||||||||1||True||||10||彻悟的杰鲁||徹悟的傑魯||Djeru, face à la vérité||Djeru der Geläuterte||Djeru, dagli Occhi Aperti||目を開いた者、デジェル||Djeru, de Olhos Abertos||Джеру, Раскрывший Глаза||Djeru, el de los Ojos Abiertos||눈을 뜬 제루||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Djeru's Renunciation||Hour of Devastation||HOU||430700||Instant||||||||{1}{W}||2||Kieran Yanner||#_"I was promised an afterlife, not this. Samut was right. The God-Pharaoh lied."£—Djeru, former Tah-crop initiate_#||W||||11||C||5||||||Tap up to two target creatures.£Cycling {W} #_({W}, Discard this card: Draw a card.)_#||||||||||1||True||||11||杰鲁的决断||傑魯的決斷||Renonciation de Djeru||Djerus Abkehr||Rinuncia di Djeru||デジェルの拒絶||Renúncia de Djeru||Отречение Джеру||Renuncia de Djeru||제루의 단념||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Doomfall||Hour of Devastation||HOU||430751||Sorcery||||||||{2}{B}||3||Darek Zabrocki||#_"This place has outlived its usefulness."£—Nicol Bolas_#||B||||62||U||5||£6/27/2017 : If you choose Doomfall’s first mode, the target opponent chooses which creature to exile. That creature isn’t targeted, so a creature with hexproof can be exiled this way.£6/27/2017 : If you choose Doomfall’s second mode, you must exile a nonland card from that player’s hand if able. If you can’t, most likely because that player’s hand contains only land cards, nothing happens. That player won’t exile a creature he or she controls instead.||||Choose one —£• Target opponent exiles a creature he or she controls.£• Target opponent reveals his or her hand. You choose a nonland card from it. Exile that card.||||||||||1||True||||62||末日降临||末日降臨||Destin funeste||Schicksalsdämmerung||Avvento del Fato||大災厄||Cair da Perdição||Погибель||Perdición inminente||쏟아져 내리는 파멸||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Dreamstealer||Hour of Devastation||HOU||430752||Creature — Human Wizard||1||2||||{2}{B}||3||Yongjae Choi||||B||||63||R||5||£6/27/2017 : For each card with eternalize, a corresponding game play supplement token can be found in some Hour of Devastation booster packs. These supplements are not required to play with cards with eternalize; you can use the same items to represent an eternalized token as you would any other token.£6/27/2017 : If a creature card with eternalize is put into your graveyard during your main phase, you’ll have priority immediately afterward. You can activate its eternalize ability before any player can try to exile it, such as with Crook of Condemnation, if it’s legal for you to do so.£6/27/2017 : Once you’ve activated an eternalize ability, the card is immediately exiled. Opponents can’t try to stop the ability by exiling the card with an effect such as that of Crook of Condemnation.£6/27/2017 : The token copies exactly what was printed on the original card and nothing else, except the characteristics specifically modified by eternalize. It doesn’t copy any information about the object the card was before it was put into your graveyard.£6/27/2017 : The token is a Zombie in addition to its other types and is black instead of its other colors. Its base power and toughness are 4/4. It has no mana cost, and thus its converted mana cost is 0. These are copiable values of the token that other effects may copy.£6/27/2017 : If the card copied by the token had any “when [this permanent] enters the battlefield” abilities, then the token also has those abilities and will trigger them when it’s created. Similarly, any “as [this permanent] enters the battlefield” or “[this permanent] enters the battlefield with” abilities that the token has copied will also work.||||Menace£Whenever Dreamstealer deals combat damage to a player, that player discards that many cards.£Eternalize {4}{B}{B} #_({4}{B}{B}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Human Wizard with no mana cost. Eternalize only as a sorcery.)_#||||||||||1||True||||63||窃梦师||竊夢師||Voleur de rêves||Traumräuber||Rubasogni||夢盗人||Rouba-sonhos||Похититель Грез||Robasueños||꿈을 훔치는 자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Dune Diviner||Hour of Devastation||HOU||430803||Creature — Naga Cleric||2||3||||{2}{G}||3||Min Yum||#_The desert had once been a place of endless horror. It was now the last refuge as the city of Naktamun fell._#||G||||114||U||5||£6/27/2017 : You can’t tap a single untapped Desert both to pay {1} and also to pay “Tap an untapped Desert you control.”||||{1}, Tap an untapped Desert you control: You gain 1 life.||||||||||1||True||||114||沙丘占卜师||沙丘占卜師||Devineresse des dunes||Wahrsagerin der Dünen||Divinatrice delle Dune||砂丘の易者||Adivinha das Dunas||Гадательница по Дюнам||Adivinadora de las dunas||사구 역술가||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Dunes of the Dead||Hour of Devastation||HOU||430864||Land — Desert||||||||||0||E. M. Gist||#_The Curse of Wandering permeated Amonkhet long before Nicol Bolas. He simply harnessed it._#||L||{C}||175||U||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.£6/27/2017 : Dunes of the Dead’s second ability doesn’t allow you to sacrifice it whenever you’d like. You must find another way to get Dunes of the Dead into the graveyard.£6/27/2017 : If you sacrifice Dunes of the Dead to pay the activation cost of an ability, you’ll create the Zombie token before that activated ability resolves.||||{T}: Add {C} to your mana pool.£When Dunes of the Dead is put into a graveyard from the battlefield, create a 2/2 black Zombie creature token.||||||||||1||True||||175||亡者沙丘||亡者沙丘||Dunes des morts||Dünen der Toten||Dune dei Defunti||死者の砂丘||Dunas dos Mortos||Дюны Мертвецов||Dunas de los difuntos||망자의 사구||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Grind // Dust||Hour of Devastation||HOU||430844||Sorcery // Sorcery||||||||{1}{B} // {3}{W}||2 // 4||Josh Hass // Josh Hass||||B // W||||155||R // R||5||£4/18/2017 : Split cards with aftermath have a new frame treatment—the half you can cast from your hand is oriented the same as other cards you’d cast from your hand, while the half you can cast from your graveyard is a traditional split card half. This frame treatment is for your convenience and has no rules significance.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : All split cards have two card faces on a single card, and you put a split card onto the stack with only the half you’re casting. The characteristics of the half of the card you didn’t cast are ignored while the spell is on the stack. For example, if an effect prevents you from casting green spells, you can cast Destined of Destined // Lead, but not Lead.£4/18/2017 : Each split card is a single card. For example, if you discard one, you’ve discarded one card, not two. If an effect counts the number of instant and sorcery cards in your graveyard, Destined // Lead counts once, not twice.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : Each split card has two names. If an effect instructs you to choose a card name, you may choose one, but not both.£4/18/2017 : While not on the stack, the characteristics of a split card are the combination of its two halves. For example, Destined // Lead is a green and black card, it is both an instant card and a sorcery card, and its converted mana cost is 6. This means that if an effect allows you to cast a card with converted mana cost 2 from your hand, you can’t cast Destined. This is a change from the previous rules for split cards.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If you cast the first half of a split card with aftermath during your turn, you’ll have priority immediately after it resolves. You can cast the half with aftermath from your graveyard before any player can take any other action if it’s legal for you to do so.£4/18/2017 : If another effect allows you to cast a split card with aftermath from any zone other than a graveyard, you can’t cast the half with aftermath.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If another effect allows you to cast a split card with aftermath from a graveyard, you may cast either half. If you cast the half that has aftermath, you’ll exile the card if it would leave the stack.£4/18/2017 : A spell with aftermath cast from a graveyard will always be exiled afterward, whether it resolves, it’s countered, or it leaves the stack in some other way.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£6/27/2017 : You can’t target the same creature twice with Grind to give it two -1/-1 counters.||||Put a -1/-1 counter on each of up to two target creatures.£ // £Aftermath #_(Cast this spell only from your graveyard. Then exile it.)_#£Exile any number of target creatures that have -1/-1 counters on them.||||||||||1||True||||155||碾成 // 齑粉||碾成 // 齏粉||Broyer // Cendres||Zermahlen // Staub||Disgregare // Polvere||翦草 // 除根||Reduzir // Pó||||Triturar // Polvo||분쇄 // 가루||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||WB||True||||||||||||||||||||||||||||
Dutiful Servants||Hour of Devastation||HOU||430701||Creature — Zombie||2||5||||{3}{W}||4||Volkan Baga||#_Buildings crumbled and monuments fell. The river bled and the sky wept tears of fire. All the while, servants silently continued their work, oblivious to it all._#||W||||12||C||5||||||||||||||||1||True||||12||尽忠仆从||盡忠僕從||Servants obéissants||Pflichtbewusste Diener||Servi Obbedienti||従順な召使い||Servos Obedientes||Усердные Слуги||Sirvientes solícitos||충실한 하수인||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Earthshaker Khenra||Hour of Devastation||HOU||430779||Creature — Jackal Warrior||2||1||||{1}{R}||2||Jason A. Engle||||R||||90||R||5||£6/27/2017 : The target creature’s power is checked when you target it with Earthshaker Khenra’s ability and when that ability resolves. Once the ability resolves, if the creature’s power increases or Earthshaker Khenra’s power decreases, the target creature will still be unable to block.£6/27/2017 : Spells, activated abilities, and triggered abilities can’t raise Earthshaker Khenra’s power before you have to choose a target for its ability. Static abilities, such as that of Lord of the Accursed, will raise its power in time to let you target a larger creature.£6/27/2017 : For each card with eternalize, a corresponding game play supplement token can be found in some Hour of Devastation booster packs. These supplements are not required to play with cards with eternalize; you can use the same items to represent an eternalized token as you would any other token.£6/27/2017 : If a creature card with eternalize is put into your graveyard during your main phase, you’ll have priority immediately afterward. You can activate its eternalize ability before any player can try to exile it, such as with Crook of Condemnation, if it’s legal for you to do so.£6/27/2017 : Once you’ve activated an eternalize ability, the card is immediately exiled. Opponents can’t try to stop the ability by exiling the card with an effect such as that of Crook of Condemnation.£6/27/2017 : The token copies exactly what was printed on the original card and nothing else, except the characteristics specifically modified by eternalize. It doesn’t copy any information about the object the card was before it was put into your graveyard.£6/27/2017 : The token is a Zombie in addition to its other types and is black instead of its other colors. Its base power and toughness are 4/4. It has no mana cost, and thus its converted mana cost is 0. These are copiable values of the token that other effects may copy.£6/27/2017 : If the card copied by the token had any “when [this permanent] enters the battlefield” abilities, then the token also has those abilities and will trigger them when it’s created. Similarly, any “as [this permanent] enters the battlefield” or “[this permanent] enters the battlefield with” abilities that the token has copied will also work.||||Haste£When Earthshaker Khenra enters the battlefield, target creature with power less than or equal to Earthshaker Khenra's power can't block this turn.£Eternalize {4}{R}{R} #_({4}{R}{R}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Jackal Warrior with no mana cost. Eternalize only as a sorcery.)_#||||||||||1||True||||90||撼地胡狼人||撼地胡狼人||Khenra trembleterre||Erdstoß-Khenra||Khenra Scuotiterra||地揺すりのケンラ||Khenra Abala-terra||Сотрясающий Землю Хенра||Khenra tiemblatierra||대지를 뒤흔드는 켄라||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Endless Sands||Hour of Devastation||HOU||430865||Land — Desert||||||||||0||Noah Bradley||||L||{C}||176||R||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.£6/27/2017 : The last ability of Endless Sands returns only creature cards exiled by that card. If Endless Sands leaves the battlefield before you activate that ability, the exiled creatures are lost in the dunes forever.£6/27/2017 : If you exile a creature that isn’t a creature card with the second ability of Endless Sands (such as a token creature or a land that has become a creature), the third ability won’t return that token or card from exile.||||{T}: Add {C} to your mana pool.£{2}, {T}: Exile target creature you control.£{4}, {T}, Sacrifice Endless Sands: Return each creature card exiled with Endless Sands to the battlefield under its owner's control.||||||||||1||True||||176||无际沙漠||無際沙漠||Sables infinis||Endlose Sande||Sabbie Sconfinate||終わりなき砂漠||Areias Infinitas||Бескрайние Пески||Arenas interminables||끝없는 모래||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
